id,brand,name,alias,age,gender,abilities,weaknesses,team_affiliation
1,Marvel,Spider-Man,Peter Parker,18,Male,"Wall-crawling, enhanced strength, spider-sense","Green Goblin, Venom, personal responsibility",Avengers
2,Marvel,Iron Man,Tony Stark,35,Male,"Genius-level intellect, powered armor suit","Alcoholism, arrogance, shrapnel near heart",Avengers
3,Marvel,Captain America,Steve Rogers,100,Male,"Peak human strength, master martial artist",Vulnerability to mental manipulation,Avengers
4,Marvel,Thor,Thor Odinson,Ageless,Male,"Superhuman strength, lightning manipulation, Mjolnir","Arrogance, dependency on Mjolnir",Avengers
5,Marvel,Black Widow,Natasha Romanoff,35,Female,"Expert spy, martial artist, various weapons","Past traumas, guilt",Avengers
6,Marvel,Hulk,Bruce Banner,40,Male,"Superhuman strength, durability, gamma radiation","Rage, control issues",Avengers
7,Marvel,Wolverine,Logan,Ageless,Male,"Regenerative healing factor, adamantium claws, enhanced senses","Memory loss, animalistic nature",X-Men
8,Marvel,Storm,Ororo Munroe,35,Female,"Weather manipulation, flight, leadership skills","Emotional instability, claustrophobia",X-Men
9,Marvel,Professor X,Charles Xavier,65,Male,"Telepathy, genius-level intellect, leadership skills","Paralysis, guilt over failures",X-Men
10,Marvel,Cyclops,Scott Summers,35,Male,"Optic blasts, tactical skills, leadership abilities","Struggles with leadership, emotional detachment",X-Men
11,Marvel,Jean Grey,Jean Grey,35,Female,"Telekinesis, telepathy, Phoenix Force","Struggles with dark side, loss of control",X-Men
12,Marvel,Beast,Hank McCoy,40,Male,"Superhuman strength, agility, genius intellect","Physical appearance, difficulty controlling transformations",X-Men
13,Marvel,Rogue,Anna Marie,30,Female,"Power absorption, flight, superhuman strength","Fear of hurting others, isolation",X-Men
14,Marvel,Gambit,Remy LeBeau,35,Male,"Kinetic energy manipulation, skilled thief, agility","Guilt over past actions, shady past",X-Men
15,Marvel,Nightcrawler,Kurt Wagner,30,Male,"Teleportation, agility, prehensile tail","Physical appearance, religious beliefs",X-Men
16,Marvel,Deadpool,Wade Wilson,Ageless,Male,"Regenerative healing factor, expert marksman, fourth wall awareness","Mental instability, mercenary lifestyle",X-Force
17,Marvel,Black Panther,T'Challa,35,Male,"Enhanced strength, agility, vibranium suit","Responsibility to Wakanda, struggles with tradition vs. progress",Avengers
18,Marvel,Doctor Strange,Stephen Strange,45,Male,"Mystic arts, time manipulation, astral projection","Arrogance, self-doubt, past mistakes",Avengers
19,Marvel,Ant-Man,Scott Lang,35,Male,"Size manipulation, genius-level intellect, insect communication","Struggles with family responsibilities, past as a criminal",Avengers
20,Marvel,Wasp,Hope van Dyne,30,Female,"Size manipulation, wings, energy blasts","Guilt over past mistakes, family dynamics",Avengers
21,Marvel,Vision,Vision,Ageless,Male,"Synthetic body, superhuman strength, density manipulation","Struggles with humanity, identity crisis",Avengers
22,Marvel,Daredevil,Matt Murdock,35,Male,"Enhanced senses, martial arts expertise, radar sense","Guilt over past failures, identity crisis",Defenders
23,Marvel,Luke Cage,Carl Lucas,40,Male,"Superhuman strength, invulnerability, unbreakable skin","Struggles with past, responsibility to community",Defenders
24,Marvel,Jessica Jones,Jessica Jones,35,Female,"Superhuman strength, flight, investigative skills","PTSD, struggles with past trauma",Defenders
25,Marvel,Iron Fist,Danny Rand,35,Male,"Martial arts mastery, chi manipulation, Iron Fist","Struggles with identity, duty as the Immortal Iron Fist",Defenders
26,Marvel,Punisher,Frank Castle,40,Male,"Expert marksman, hand-to-hand combatant, military training","Guilt over familys death, pursuit of justice through extreme methods",None
27,Marvel,Ghost Rider,Johnny Blaze,Ageless,Male,"Flaming skull, superhuman strength, hellfire manipulation","Curse of the Ghost Rider, struggle with demonic side",Midnight Sons
28,Marvel,Silver Surfer,Norrin Radd,Ageless,Male,"Cosmic power, superhuman strength, energy manipulation","Loss of humanity, servitude to Galactus",None
